ライセンスリスク,チーム,リポジトリ/プロジェクトグループ,マニフェスト/プロジェクト,パッケージタイプ,ソフトウェア,ライセンス,"OSI 認定なしのライセンスを含む",プロジェクトサイト,ソースコードリポジトリ,パッケージリポジトリ
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,ansi-regex@5.0.1,MIT,false,,,"https://www.npmjs.com/package/ansi-regex"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,ansi-styles@4.3.0,MIT,false,,,"https://www.npmjs.com/package/ansi-styles"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,balanced-match@1.0.2,MIT,false,,,"https://www.npmjs.com/package/balanced-match"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,brace-expansion@1.1.11,MIT,false,,,"https://www.npmjs.com/package/brace-expansion"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,cliui@7.0.4,ISC,false,,,"https://www.npmjs.com/package/cliui"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,color-convert@2.0.1,MIT,false,,,"https://www.npmjs.com/package/color-convert"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,color-name@1.1.4,MIT,false,,,"https://www.npmjs.com/package/color-name"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,concat-map@0.0.1,MIT,false,,,"https://www.npmjs.com/package/concat-map"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,emoji-regex@8.0.0,MIT,false,,,"https://www.npmjs.com/package/emoji-regex"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,escalade@3.1.1,MIT,false,,,"https://www.npmjs.com/package/escalade"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,fs.realpath@1.0.0,ISC,false,,,"https://www.npmjs.com/package/fs.realpath"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,function-bind@1.1.1,MIT,false,,,"https://www.npmjs.com/package/function-bind"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,get-caller-file@2.0.5,ISC,false,,,"https://www.npmjs.com/package/get-caller-file"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,glob@7.1.6,ISC,false,,,"https://www.npmjs.com/package/glob"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,has@1.0.3,MIT,false,,,"https://www.npmjs.com/package/has"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,inflight@1.0.6,ISC,false,,,"https://www.npmjs.com/package/inflight"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,inherits@2.0.4,ISC,false,,,"https://www.npmjs.com/package/inherits"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,interpret@1.4.0,MIT,false,,,"https://www.npmjs.com/package/interpret"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,is-core-module@2.3.0,MIT,false,,,"https://www.npmjs.com/package/is-core-module"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,"is-fullwidth-code-point@3.0.0",MIT,false,,,"https://www.npmjs.com/package/is-fullwidth-code-point"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,minimatch@3.1.2,ISC,false,,,"https://www.npmjs.com/package/minimatch"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,once@1.4.0,ISC,false,,,"https://www.npmjs.com/package/once"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,path-is-absolute@1.0.1,MIT,false,,,"https://www.npmjs.com/package/path-is-absolute"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,path-parse@1.0.7,MIT,false,,,"https://www.npmjs.com/package/path-parse"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,rechoir@0.6.2,MIT,false,,,"https://www.npmjs.com/package/rechoir"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,require-directory@2.1.1,MIT,false,,,"https://www.npmjs.com/package/require-directory"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,resolve@1.20.0,MIT,false,,,"https://www.npmjs.com/package/resolve"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,shelljs@0.8.5,BSD-3-Clause,false,,,"https://www.npmjs.com/package/shelljs"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,string-width@4.2.2,MIT,false,,,"https://www.npmjs.com/package/string-width"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,strip-ansi@6.0.0,MIT,false,,,"https://www.npmjs.com/package/strip-ansi"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,wrap-ansi@7.0.0,MIT,false,,,"https://www.npmjs.com/package/wrap-ansi"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,wrappy@1.0.2,ISC,false,,,"https://www.npmjs.com/package/wrappy"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,y18n@5.0.8,ISC,false,,,"https://www.npmjs.com/package/y18n"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,yargs@16.2.0,MIT,false,,,"https://www.npmjs.com/package/yargs"
,"System Development",SC,"@sc/yamory-automation-scanning@npm",npm,yargs-parser@20.2.7,ISC,false,,,"https://www.npmjs.com/package/yargs-parser"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,ansi-regex@5.0.1,MIT,false,,,"https://www.npmjs.com/package/ansi-regex"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,ansi-styles@4.3.0,MIT,false,,,"https://www.npmjs.com/package/ansi-styles"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,chalk@5.3.0,MIT,false,,,"https://www.npmjs.com/package/chalk"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,cliui@8.0.1,ISC,false,,,"https://www.npmjs.com/package/cliui"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,color-convert@2.0.1,MIT,false,,,"https://www.npmjs.com/package/color-convert"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,color-name@1.1.4,MIT,false,,,"https://www.npmjs.com/package/color-name"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,emoji-regex@8.0.0,MIT,false,,,"https://www.npmjs.com/package/emoji-regex"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,escalade@3.1.1,MIT,false,,,"https://www.npmjs.com/package/escalade"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,get-caller-file@2.0.5,ISC,false,,,"https://www.npmjs.com/package/get-caller-file"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,"is-fullwidth-code-point@3.0.0",MIT,false,,,"https://www.npmjs.com/package/is-fullwidth-code-point"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,ncp@2.0.0,MIT,false,,,"https://www.npmjs.com/package/ncp"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,require-directory@2.1.1,MIT,false,,,"https://www.npmjs.com/package/require-directory"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,string-width@4.2.3,MIT,false,,,"https://www.npmjs.com/package/string-width"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,strip-ansi@6.0.1,MIT,false,,,"https://www.npmjs.com/package/strip-ansi"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,wrap-ansi@7.0.0,MIT,false,,,"https://www.npmjs.com/package/wrap-ansi"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,y18n@5.0.8,ISC,false,,,"https://www.npmjs.com/package/y18n"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,yargs@17.7.2,MIT,false,,,"https://www.npmjs.com/package/yargs"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/create-garoon-plugin@yarn",npm,yargs-parser@21.1.1,ISC,false,,,"https://www.npmjs.com/package/yargs-parser"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,"@kintone/rest-api-client@5.6.0",MIT,false,,,"https://www.npmjs.com/package/@kintone/rest-api-client"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,asynckit@0.4.0,MIT,false,,,"https://www.npmjs.com/package/asynckit"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,axios@1.7.9,MIT,false,,,"https://www.npmjs.com/package/axios"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,call-bind@1.0.7,MIT,false,,,"https://www.npmjs.com/package/call-bind"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,combined-stream@1.0.8,MIT,false,,,"https://www.npmjs.com/package/combined-stream"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,core-js@3.39.0,MIT,false,,,"https://www.npmjs.com/package/core-js"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,"define-data-property@1.1.4",MIT,false,,,"https://www.npmjs.com/package/define-data-property"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,delayed-stream@1.0.0,MIT,false,,,"https://www.npmjs.com/package/delayed-stream"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,dotenv@16.4.7,BSD-2-Clause,false,,,"https://www.npmjs.com/package/dotenv"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,es-define-property@1.0.0,MIT,false,,,"https://www.npmjs.com/package/es-define-property"
,"System Development",cybozu-garoon-plugin,"@cy-gr-plugin/release-for-kintone@yarn",npm,es-errors@1.3.0,MIT,false,,,"https://www.npmjs.com/package/es-errors"
